,gene_1,gene_2,HG_pval,rank
3892,CEBPA_negation,USF1_negation,1.081460130794209e-09,409
4534,SP3_negation,STAT1_negation,1.081460130794209e-09,410
4172,EZH2_negation,RUNX1_negation,1.081460130794209e-09,411
3151,RFX5,ESR1_negation,1.0858306718619687e-09,412
3195,RFXAP,CDX2_negation,1.1995161523835698e-09,413
2796,POU2F2,RFXAP,1.34098379805704e-09,414
1453,GATA2,GATA1_negation,1.413396521083912e-09,415
3983,CTNNB1_negation,NR3C1_negation,1.469379632058127e-09,416
42,ABL1,RFXAP,1.4913117065331581e-09,417
3002,RBMX,NFIC_negation,1.9082636732629572e-09,418
4251,GATA1_negation,SNAI2_negation,1.9082636732629572e-09,419
4460,PARP1_negation,SNAI2_negation,2.098651854931977e-09,420
2570,NPM1,CEBPD_negation,2.0999576557329815e-09,421
1293,FOS,FOSL2_negation,2.0999576557329815e-09,422
1805,HOPX,RFX5,2.0999576557329815e-09,423
441,ATF4,HDAC3_negation,2.132953064364847e-09,424
2831,POU2F2,NFIC_negation,2.4746922740373886e-09,425
430,ATF4,CTNNB1_negation,2.530984447674943e-09,426
2137,KLF5,SP3_negation,2.5719050318156404e-09,427
786,DEK,EGR1_negation,2.5719050318156404e-09,428
4255,GATA1_negation,STAT1_negation,2.5719050318156404e-09,429
3517,TFAP2A,SP3_negation,2.5719050318156404e-09,430
2925,PPARD,CDX2_negation,2.613864817513246e-09,431
4256,GATA1_negation,STAT6_negation,2.748531699955473e-09,432
1445,GATA2,DDIT3_negation,2.875206350692973e-09,433
405,ATF4,POU2F2,2.9299976542832067e-09,434
3187,RFXAP,TFAP2A,3.209215369688287e-09,435
1528,HBP1,EZH2_negation,3.405472456462682e-09,436
1455,GATA2,HDAC3_negation,3.664624535895365e-09,437
4516,RUNX1_negation,SP3_negation,3.6712380209950727e-09,438
1430,GATA2,SRF,3.6712380209950727e-09,439
1549,HBP1,SP3_negation,3.6712380209950727e-09,440
2562,NPM1,TP63,4.090385770754842e-09,441
46,ABL1,SRF,4.233682109865731e-09,442
1316,FOS,STAT6_negation,4.609609371875265e-09,443
650,DACH1,FOS,4.609609371875265e-09,444
3206,RFXAP,FOSB_negation,4.635858548509474e-09,445
3509,TFAP2A,NR3C1_negation,5.046085611130059e-09,446
624,CEBPE,MEF2A_negation,5.200558143577871e-09,447
4384,MEF2A_negation,STAT1_negation,5.200558143577871e-09,448
3312,SP2,HIF1A_negation,5.5552899350275906e-09,449
2037,KLF4,CEBPA_negation,5.5552899350275906e-09,450
2679,PER1,SP2,5.5552899350275906e-09,451
3289,SP2,TFDP3,5.5552899350275906e-09,452
3328,SP2,SPDEF_negation,5.5552899350275906e-09,453
3441,STAT3,CEBPA_negation,5.5552899350275906e-09,454
2364,MLLT3,SP2,5.5552899350275906e-09,455
3334,SP2,WWTR1_negation,5.5552899350275906e-09,456
1672,HIVEP2,CEBPA_negation,5.5552899350275906e-09,457
854,DMAP1,SP2,5.5552899350275906e-09,458
939,ELK4,SP2,5.5552899350275906e-09,459
3321,SP2,PML_negation,5.5552899350275906e-09,460
2959,PPARD,STAT1_negation,6.592594732957608e-09,461
652,DACH1,GATA2,7.1185437041918445e-09,462
90,ABL1,STAT1_negation,7.1185437041918445e-09,463
2087,KLF5,PPARD,7.1185437041918445e-09,464
3831,CDX2_negation,GATA1_negation,7.135227391824286e-09,465
1451,GATA2,FOSB_negation,8.166111214853144e-09,466
573,CEBPE,KLF5,8.166111214853144e-09,467
68,ABL1,FOSL2_negation,8.637175334496674e-09,468
612,CEBPE,ELK1_negation,1.0558180241642036e-08,469
1475,GATA2,STAT6_negation,1.0558180241642036e-08,470
620,CEBPE,HDAC3_negation,1.0558180241642036e-08,471
